INDIVIDUALS	STRATA
men18_red745	men18
men18_red749	men18
men18_red750	men18
men18_red751	men18
men18_red752	men18
men18_red753	men18
men18_red754	men18
men18_red755	men18
men18_red783	men18
men18_red786	men18
men18_red834	men18
men18_red835	men18
men18_red838	men18
men18_red839	men18
men18_red840	men18
men18_red841	men18
men18_red842	men18
men18_red843	men18
men18_red844	men18
men18_red846	men18
men18_red847	men18
men18_red848	men18
men18_red849	men18
men18_red850	men18
men18_red851	men18
men18_red876	men18
men18_red878	men18
men21_red562	men21
men21_red563	men21
men21_red564	men21
men21_red565	men21
men21_red566	men21
men21_red567	men21
men21_red568	men21
men21_red569	men21
men21_red570	men21
men21_red571	men21
men21_red572	men21
men21_red573	men21
men21_red574	men21
men21_red575	men21
men21_red576	men21
men21_red577	men21
men21_red578	men21
men21_red579	men21
men21_red580	men21
men21_red581	men21
men21_red582	men21
men21_red583	men21
men21_red584	men21
men21_red585	men21
men21_red586	men21
men21_red587	men21
men21_red588	men21
men21_red589	men21
men21_red590	men21
men21_red591	men21
men21_red592	men21
men21_red593	men21
men21_red594	men21
men21_red595	men21
men24_red526	men24
men24_red527	men24
men24_red528	men24
men24_red529	men24
men24_red530	men24
men24_red531	men24
men24_red532	men24
men24_red533	men24
men24_red534	men24
men24_red535	men24
men24_red536	men24
men24_red537	men24
men24_red538	men24
men24_red539	men24
men24_red540	men24
men24_red541	men24
men24_red542	men24
men24_red543	men24
men24_red544	men24
men24_red545	men24
men24_red546	men24
men24_red547	men24
men24_red548	men24
men24_red549	men24
men24_red550	men24
men24_red551	men24
men24_red552	men24
men24_red553	men24
men24_red554	men24
men24_red555	men24
men24_red556	men24
men24_red557	men24
men24_red558	men24
men24_red559	men24
men24_red560	men24
men24_red561	men24
fas08_red714	fas08
fas08_red715	fas08
fas08_red716	fas08
fas08_red717	fas08
fas08_red718	fas08
fas08_red722	fas08
fas08_red805	fas08
fas08_red807	fas08
fas08_red808	fas08
fas08_red809	fas08
fas08_red810	fas08
fas08_red812	fas08
fas08_red814	fas08
fas08_red815	fas08
fas08_red816	fas08
fas08_red817	fas08
fas08_red819	fas08
fas08_red820	fas08
fas08_red821	fas08
men27_red188	men27
men27_red189	men27
men27_red190	men27
men27_red191	men27
men27_red192	men27
men27_red291	men27
men27_red293	men27
men27_red294	men27
men27_red295	men27
men27_red296	men27
men27_red298	men27
men27_red299	men27
men27_red300	men27
men27_red301	men27
men27_red302	men27
men27_red303	men27
men27_red304	men27
men27_red305	men27
men27_red306	men27
men27_red307	men27
men27_red309	men27
men27_red310	men27
men27_red311	men27
men27_red312	men27
men27_red313	men27
men27_red314	men27
men27_red315	men27
men27_red316	men27
men27_red317	men27
men27_red318	men27
men27_red319	men27
men19_red746	men19
men19_red747	men19
men19_red748	men19
men19_red771	men19
men19_red774	men19
men19_red775	men19
men19_red776	men19
men19_red777	men19
men19_red778	men19
men19_red779	men19
men19_red780	men19
men19_red781	men19
men19_red784	men19
men19_red787	men19
men19_red836	men19
men19_red837	men19
men19_red871	men19
men19_red872	men19
men19_red874	men19
men19_red875	men19
men19_red877	men19
men19_red879	men19
men20_red758	men20
men20_red760	men20
men20_red761	men20
men20_red762	men20
men20_red763	men20
men20_red767	men20
men20_red769	men20
men20_red773	men20
men20_red782	men20
men20_red852	men20
men20_red853	men20
men20_red854	men20
men20_red855	men20
men20_red856	men20
men20_red857	men20
men20_red858	men20
men20_red859	men20
men20_red860	men20
men20_red861	men20
men20_red862	men20
men20_red863	men20
men20_red864	men20
men20_red865	men20
men20_red868	men20
men20_red873	men20
men22_red456	men22
men22_red457	men22
men22_red458	men22
men22_red459	men22
men22_red460	men22
men22_red461	men22
men22_red462	men22
men22_red463	men22
men22_red464	men22
men22_red465	men22
men22_red466	men22
men22_red467	men22
men22_red468	men22
men22_red469	men22
men22_red470	men22
men22_red471	men22
men22_red472	men22
men22_red473	men22
men22_red474	men22
men22_red475	men22
men22_red476	men22
men22_red477	men22
men22_red478	men22
men22_red479	men22
men22_red480	men22
men22_red481	men22
men22_red482	men22
men22_red483	men22
men22_red484	men22
men22_red485	men22
men22_red486	men22
men22_red487	men22
men22_red488	men22
men22_red489	men22
men22_red490	men22
men23_red491	men23
men23_red492	men23
men23_red493	men23
men23_red495	men23
men23_red496	men23
men23_red497	men23
men23_red498	men23
men23_red499	men23
men23_red500	men23
men23_red501	men23
men23_red502	men23
men23_red503	men23
men23_red504	men23
men23_red505	men23
men23_red506	men23
men23_red507	men23
men23_red508	men23
men23_red509	men23
men23_red510	men23
men23_red511	men23
men23_red512	men23
men23_red513	men23
men23_red514	men23
men23_red515	men23
men23_red516	men23
men23_red517	men23
men23_red518	men23
men23_red519	men23
men23_red520	men23
men23_red521	men23
men23_red522	men23
men23_red523	men23
men23_red524	men23
men23_red525	men23
men28_red138	men28
men28_red140	men28
men28_red142	men28
men28_red143	men28
men28_red147	men28
men28_red149	men28
men28_red156	men28
men28_red157	men28
men28_red158	men28
men28_red159	men28
men28_red160	men28
men28_red161	men28
men28_red164	men28
men28_red168	men28
men28_red171	men28
men28_red172	men28
men28_red173	men28
men28_red175	men28
men28_red176	men28
men28_red177	men28
men28_red178	men28
men28_red179	men28
men28_red180	men28
men28_red182	men28
men28_red183	men28
men28_red184	men28
men28_red185	men28
men28_red186	men28
men28_red187	men28
men28_red320	men28
men28_red321	men28
men28_red322	men28
men28_red323	men28
